date,os_version,visits
2016-10-21,8,238
2016-10-21,8.1,1788
2016-10-21,Vista,238
2016-10-21,XP,266
2016-10-22,10,2986
2016-10-22,7,3336
2016-10-22,8,103
2016-10-22,8.1,872
2016-10-22,Vista,117
2016-10-22,XP,105
2016-10-23,10,3742
2016-10-23,7,3633
2016-10-23,8,116
2016-10-23,8.1,1058
2016-10-23,Vista,137
2016-10-23,XP,151
2016-10-24,10,7129
2016-10-24,7,25656
2016-10-24,8,308
2016-10-24,8.1,2163
2016-10-24,Vista,242
2016-10-24,XP,366
2016-10-25,10,6832
2016-10-25,7,23425
2016-10-25,8,254
2016-10-25,8.1,1931
2016-10-25,Vista,254
2016-10-25,XP,351
2016-10-26,10,6632
2016-10-26,7,21785
2016-10-26,8,267
2016-10-26,8.1,2037
2016-10-26,Vista,259
2016-10-26,XP,339
2016-10-27,10,6313
2016-10-27,7,22145
2016-10-27,8,224
2016-10-27,8.1,1747
2016-10-27,Vista,221
2016-10-27,XP,290
2016-10-28,10,5443
2016-10-28,7,20760
2016-10-28,8,221
2016-10-28,8.1,1699
2016-10-28,Vista,221
2016-10-28,XP,271
2016-10-29,10,3286
2016-10-29,7,3619
2016-10-29,8,116
2016-10-29,8.1,958
2016-10-29,Vista,144
2016-10-29,XP,108
2016-10-30,10,4153
2016-10-30,7,4127
2016-10-30,8,121
2016-10-30,8.1,1096
2016-10-30,Vista,146
2016-10-30,XP,167
2016-10-31,10,6570
2016-10-31,7,23085
2016-10-31,8,244
2016-10-31,8.1,1962
2016-10-31,Vista,239
2016-10-31,XP,368
2016-11-01,10,6985
2016-11-01,7,23190
2016-11-01,8,257
2016-11-01,8.1,1964
2016-11-01,Vista,283
2016-11-01,XP,311
2016-11-02,10,6811
2016-11-02,7,21618
2016-11-02,8,227
2016-11-02,8.1,2024
2016-11-02,Vista,266
2016-11-02,XP,325
2016-11-03,10,6351
2016-11-03,7,21849
2016-11-03,8,249
2016-11-03,8.1,1850
2016-11-03,Vista,208
2016-11-03,XP,292
